Yusynth VCA v1,"March 28, 2020",,,,,
,,,,,,
Description,Comment,Designator,MFG,MFG PN,Digi-Key PN,Q
Resistors,,,,,,
RES SMD 470 OHM 5% 1/10W 0603,470R,"R14, R25",Yageo,RC0603JR-07470RL,311-270GRCT-ND,2
RES SMD 1K OHM 5% 1/10W 0603,1k,R7,Yageo,RC0603JR-071KL,311-560GRCT-ND,1
RES SMD 10K OHM 5% 1/10W 0603,10k,"R10, R11",Yageo,RC0603JR-0710KL,311-5.6KGRCT-ND,2
RES SMD 12K OHM 5% 1/10W 0603,12k,R24,Yageo,RC0603JR-0712KL,311-6.8KGRCT-ND,1
RES SMD 15K OHM 5% 1/10W 0603,15k,"R8, R9, R17",Yageo,RC0603JR-0715KL,311-8.2KGRCT-ND,3
RES SMD 22K OHM 5% 1/10W 0603,22k,"R21, R22",Yageo,RC0603JR-0722KL,311-12KGRCT-ND,2
RES SMD 33K OHM 5% 1/10W 0603,33k,R15,Yageo,RC0603JR-0733KL,311-18KGRCT-ND,1
RES SMD 68K OHM 5% 1/10W 0603,68k,"R19, R20",Yageo,RC0603JR-0768KL,311-39KGRCT-ND,2
RES SMD 100K OHM 5% 1/10W 0603,100k,"R3, R4, R5, R6, R12, R13, R16, R18",Yageo,RC0603JR-07100KL,311-56KGRCT-ND,8
RES SMD 470K OHM 5% 1/10W 0603,470k,R23,Yageo,RC0603JR-07470KL,311-270KGRCT-ND,1
Trim Pots,,,,,,
trim pot from the random eBay set,1k,A1,Unknown,Unknown,N/A,1
trim pot from the random eBay set,47k,A2,Unknown,Unknown,N/A,1
trim pot from the random eBay set,100k,A3,Unknown,Unknown,N/A,1
Capacitors,,,,,,
CAP CER 0.1UF 50V X7R 0603,100nF,"C5, C6, C7, C8, C9, C10, C11",Yageo,CC0603KRX7R9BB104,311-1344-1-ND,7
CAP CER 10UF 35V X5R 0805,10u,"C3, C4",Murata,GRM21BR6YA106KE43L,490-10514-1-ND,2
CAP 22 UF 20% 25 V,22uF,"C1, C2",Wurth Electronics Inc.,865080442004,732-8432-1-ND,2
Diodes,,,,,,
DIODE GEN PURP 75V 250MA SOD123,1N4148,D1,SMC Diode Solutions,1N4148WTR,1655-1360-1-ND,1
Transistors,,,,,,
TRANS 2NPN 40V 0.2A SOT363,DMMT3904W,Q1,Diodes Inc.,DMMT3904W-7-F,DMMT3904W-FDICT-ND,1
TRANS NPN 45V 0.1A TO-92,BC547C,Q3,ON Semi,BC547CTA,BC547CTACT-ND,1
TRANS NPN 40V 0.2A SOT23,MMBT3904,Q4,ON Semi,MMBT3904LT1G,MMBT3904LT1GOSCT-ND,1
ICs,,,,,,
IC OPAMP JFET 3MHZ 8SOIC,TL072,U1,TI,TL072CDR,296-1282-1-ND,1
IC OPAMP GP 1MHZ 8SOIC,741,U2,TI,UA741CDR,296-15051-1-ND,1
Headers,,,,,,
CONN HEADER 2POS .100 VERT TIN,1x2 TH Male,"H1, H2, H3, H4, H5, H6, H8",Molex,22-23-2021,WM4200-ND,7
CONN HEADER EH SIDE 6POS 2.5MM,Synth Power,H7,S6B-EH(LF)(SN),S6B-EH(LF)(SN),455-1629-ND,1
CONN HEADER 3POS .100 VERT TIN,1x3 TH Male,"H9, H10, H11",Molex,22232031,WM4201-ND,3
